common_name,scientific_name,mbta,federally_endangered,federally_threatened,bcc_rangewide_in_continental_us_and_or_pr_and_vi_or_hi_and_pacific_islands,bc_rs_for_bcc_listing_non_breeding,bc_rs_for_bcc_listing_breeding,gbif_taxonID,kingdom,phylum,class,order,family,genus,species,taxon_id
Piping Plover,Charadrius melodus,Y,"[Great Lakes watershed DPS] ‐ Great
Lakes, watershed in States of IL, IN, MI,
MN, NY, OH, PA, and WI and Canada
(Ont.)","[Atlantic Coast and Northern Great
Plains populations] ‐ Wherever found,
except those areas where listed as
endangered.",NA,NA,NA,2480283,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius melodus,2480283
Plain Pigeon,Patagioenas inornata,Y,Ssp. wetmorei only ‐ wherever found,NA,NA,NA,NA,2495279,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,Patagioenas inornata,2495279
Plumbeous Vireo,Vireo plumbeus,Y,NA,NA,No,NA,34,9353154,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,Vireo plumbeus,9353154
Polynesian Storm‐Petrel,Nesofregetta fuliginosa,Y,NA,NA,Yes,102,NA,9808707,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Nesofregetta,Nesofregetta fuliginosa,9808707
Prairie Falcon,Falco mexicanus,Y,NA,NA,No,NA,17,2481000,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco mexicanus,2481000
Prairie Warbler,Setophaga discolor,Y,NA,NA,Yes,NA,"13,14,24,25,26,27,28,29,30,31",7341789,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga discolor,7341789
Prothonotary Warbler,Protonotaria citrea,Y,NA,NA,Yes,NA,"21,22,24,25,26,27,28,29,30,37",2489871,Animalia,Chordata,Aves,Passeriformes,Parulidae,Protonotaria,Protonotaria citrea,2489871
Puaiohi,Myadestes palmeri,Y,Wherever found,NA,NA,NA,NA,2490842,Animalia,Chordata,Aves,Passeriformes,Turdidae,Myadestes,Myadestes palmeri,2490842
Puerto Rican Nightjar,Antrostomus noctitherus,Y,Wherever found,NA,NA,NA,NA,6101181,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,Antrostomus noctitherus,6101181
Puerto Rican Oriole,Icterus portoricensis,Y,NA,NA,Yes,NA,101,6086178,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,Icterus portoricensis,6086178
Puerto Rican Parrot,Amazona vittata,N,Wherever found,NA,NA,NA,NA,2479642,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona vittata,2479642
Puerto Rican Vireo,Vireo latimeri,Y,NA,NA,Yes,NA,101,2487434,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,Vireo latimeri,2487434
Purple Sandpiper,Calidris maritima,Y,NA,NA,Yes,"14,27,30",NA,2481743,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris maritima,2481743
Purple Swamphen,Porphyrio porphyrio,Y,NA,NA,Yes ‐ ssp. samoensis onl y,102,NA,2474416,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porphyrio,Porphyrio porphyrio,2474416
Pyrrhuloxia,Cardinalis sinuatus,Y,NA,NA,Yes,NA,"18,19,20,33,34,35,36,37",2490405,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Cardinalis,Cardinalis sinuatus,2490405
Red Knot,Calidris canutus,Y,NA,Ssp. rufa only,Yes ‐ ssp. roselaari only,"5,9,32,37","2,3",2481765,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris canutus,2481765
Red‐billed Tropicbird,Phaethon aethereus,Y,NA,NA,Yes ‐ ssp. mesonauta only,NA,101,9743996,Animalia,Chordata,Aves,Phaethontiformes,Phaethontidae,Phaethon,Phaethon aethereus,9743996
Red‐cockaded Woodpecker,Dryobates borealis,Y,Wherever found,NA,NA,NA,NA,10742338,Animalia,Chordata,Aves,Piciformes,Picidae,Leuconotopicus,Leuconotopicus borealis,9046711
Reddish Egret,Egretta rufescens,Y,NA,NA,Yes,NA,"31,37",2480888,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta rufescens,2480888
Red‐faced Cormorant,Urile urile,Y,NA,NA,Yes,NA,"1,2,5",10980289,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax urile,2481874
Red‐faced Warbler,Cardellina rubrifrons,Y,NA,NA,Yes,NA,34,2489634,Animalia,Chordata,Aves,Passeriformes,Parulidae,Cardellina,Cardellina rubrifrons,2489634
Red‐footed Booby,Sula sula,Y,NA,NA,Yes ‐ ssp. sula only,NA,101,2480972,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula,Sula sula,2480972
Red‐headed Woodpecker,Melanerpes erythrocephalus,Y,NA,NA,Yes,NA,"11,13,17,18,19,21,22,23,24,25,26,27,28,29,30
,31,37",2478130,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,Melanerpes erythrocephalus,2478130
Red‐legged Kittiwake,Rissa brevirostris,Y,NA,NA,Yes,"M14,M15",1,2481204,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,Rissa brevirostris,2481204
Ridgway's Rail,Rallus obsoletus,Y,"Ssp. levipes and yumanensis only ‐
wherever found",NA,NA,NA,NA,7449585,Animalia,Chordata,Aves,Gruiformes,Rallidae,Rallus,Rallus obsoletus,7449585
Rock Sandpiper,Calidris ptilocnemis,Y,NA,NA,No ‐ ssp. ptilocenemis only,"2,4,5",1,5229395,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris ptilocnemis,5229395
Roseate Tern,Sterna dougallii,Y,"Ssp. dougallii only ‐ U.S.A. (Atlantic Coast
south to NC), Canada (Newf., N.S, Que.),
Bermuda","Ssp. dougallii only ‐ Western
Hemisphere and adjacent oceans, incl.
U.S.A. (FL, PR, VI), where not listed as
endangered",NA,NA,NA,5229249,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna dougallii,5229249
Rose‐breasted Grosbeak,Pheucticus ludovicianus,Y,NA,NA,No,NA,"13,14",2490494,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Pheucticus,Pheucticus ludovicianus,2490494
Ross's Gull,Rhodostethia rosea,Y,NA,NA,Yes,M13,NA,2481218,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rhodostethia,Rhodostethia rosea,2481218
Rota bridled White‐eye,Zosterops rotensis,N,Wherever found,NA,NA,NA,NA,5788594,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,Zosterops rotensis,5788594
Ruddy Duck,Oxyura jamaicensis,Y,NA,NA,Yes,NA,101,2498305,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,Oxyura jamaicensis,2498305
Ruddy Turnstone,Arenaria interpres,Y,NA,NA,No ‐ ssp. morinella only,"11,12,13,22,23,27,30,31,37",NA,2481776,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,Arenaria interpres,2481776
Rufous Hummingbird,Selasphorus rufus,Y,NA,NA,Yes,NA,"5,9,10",2476855,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,Selasphorus rufus,2476855
Rufous‐crowned Sparrow,Aimophila ruficeps,Y,NA,NA,No ‐ ssp. eremoeca only,NA,20,2491961,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Aimophila,Aimophila ruficeps,2491961
Rufous‐winged Sparrow,Peucaea carpalis,Y,NA,NA,Yes,NA,"33,34",7341576,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Peucaea,Peucaea carpalis,7341576
Rusty Blackbird,Euphagus carolinus,Y,NA,NA,No,"22,23,24,26,27,28,29,30",NA,2484184,Animalia,Chordata,Aves,Passeriformes,Icteridae,Euphagus,Euphagus carolinus,2484184
Sage Thrasher,Oreoscoptes montanus,Y,NA,NA,No,NA,9,2494973,Animalia,Chordata,Aves,Passeriformes,Mimidae,Oreoscoptes,Oreoscoptes montanus,2494973
Saltmarsh Sparrow,Ammospiza caudacuta,Y,NA,NA,Yes,"27,31",30,2491087,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammospiza,Ammospiza caudacuta,2491087
Sandhill Crane,Antigone canadensis,Y,Ssp. pulla only ‐ wherever found,NA,NA,NA,NA,9036008,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,Grus canadensis,2474953
Sandwich Tern,Thalasseus sandvicensis,Y,NA,NA,No,NA,37,2481240,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,Thalasseus sandvicensis,2481240
Savannah Sparrow,Passerculus sandwichensis,Y,NA,NA,No ‐ ssp. beldingi only,NA,32,5231142,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Passerculus,Passerculus sandwichensis,5231142
Scarlet Tanager,Piranga olivacea,Y,NA,NA,No,NA,30,2488517,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Piranga,Piranga olivacea,2488517
Scott's Oriole,Icterus parisorum,Y,NA,NA,No,NA,"34,35",5229930,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,Icterus parisorum,5229930
Scripps's Murrelet,Synthliboramphus scrippsi,Y,NA,NA,Yes,M17,32,9410588,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Synthliboramphus,Synthliboramphus scrippsi,9410588
Seaside Sparrow,Ammospiza maritima,Y,Ssp. mirabilis only ‐ wherever found,NA,"Yes ‐ ssp. fisheri, macgillivraii, maritima,
pennisulae, and sennetti only",NA,"27,30,31,37",2491116,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammospiza,Ammospiza maritima,2491116
Semipalmated Sandpiper,Calidris pusilla,Y,NA,NA,No,"12,13,14,22,23,24,26,27,30,31,101",NA,2481764,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris pusilla,2481764
Sharp‐shinned Hawk,Accipiter striatus,Y,Ssp. venator only ‐ wherever found,NA,NA,NA,NA,9740253,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter striatus,9740253
Short‐billed Dowitcher,Limnodromus griseus,Y,NA,NA,Yes,"11,13,22,23,27,30,31,32,37",2.4.5,2481672,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limnodromus,Limnodromus griseus,2481672
Short‐eared Owl,Asio flammeus,Y,NA,NA,"Yes ‐ ssp. flammeus only; except in BCR
102, which is ssp. sandwichensis only","13,14,18,19,22,23,24,29,30","1,2,3,4,9,11,16,17,32, 102 (ssp. sandwichensis
only)",2497295,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,2497295
Short‐tailed Albatross,Phoebastria albatrus,Y,Wherever found,NA,NA,NA,NA,2481385,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,Phoebastria albatrus,2481385
Shy Ground Dove,Alopecoenas stairi,Y,American Samoa DPS,NA,NA,NA,NA,9056437,Animalia,Chordata,Aves,Columbiformes,Columbidae,Pampusana,Pampusana stairi,10891839
Snail Kite,Rostrhamus sociabilis,Y,Ssp. plumbeus only ‐ wherever found,NA,NA,NA,NA,2480415,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Rostrhamus,Rostrhamus sociabilis,2480415
Snowy Owl,Bubo scandiacus,Y,NA,NA,Yes,NA,"1,2,3",5959143,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,Bubo scandiacus,5959143
Snowy Plover,Charadrius nivosus,Y,NA,"Pacific Coast population of ssp. nivosus
only DPS‐U.S.A. (CA, OR, WA), Mexico
(within 50 miles of Pacific coast)","Yes ‐ ssp. nivosus only; except in BCR
101, which is ssp. tenuirostris only",NA,"9,16,18,19,27,31,32,33,35,36,37, 101 (ssp.
tenuirostris only)",6065879,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius nivosus,6065879
Solitary Sandpiper,Tringa solitaria,Y,NA,NA,No ‐ ssp. cinnamomea only,NA,4,2481710,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa solitaria,2481710
Song Sparrow,Melospiza melodia,Y,NA,NA,"No ‐ ssp. graminea, pusillula and
samuelis only",NA,32,2492196,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,Melospiza melodia,2492196
Spectacled Eider,Somateria fischeri,Y,NA,Wherever found,NA,NA,NA,2498366,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,Somateria fischeri,2498366
Spotless Crake,Porzana tabuensis,Y,NA,NA,Yes ‐ ssp. tabuensis onl y,NA,102,2474607,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porzana,Porzana tabuensis,2474607
Spotted Owl,Strix occidentalis,Y,NA,Ssp. caurina and lucida only ‐ wherever,Yes ‐ ssp. occidentalis onl y,NA,"15,32",2497487,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,Strix occidentalis,2497487
Sprague's Pipit,Anthus spragueii,Y,NA,NA,Yes,"18,19,21,25,34,35,36,37","11,17",2490268,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus spragueii,2490268
Steller's Eider,Polysticta stelleri,Y,NA,U.S. Alaska breeding population only,NA,NA,NA,5232431,Animalia,Chordata,Aves,Anseriformes,Anatidae,Polysticta,Polysticta stelleri,5232431
Swallow‐tailed Kite,Elanoides forficatus,Y,NA,NA,Yes,NA,"25,26,27,31,37",2480461,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanoides,Elanoides forficatus,2480461
Tahiti Petrel,Pseudobulweria rostrata,Y,NA,NA,Yes,NA,102,2481506,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pseudobulweria,Pseudobulweria rostrata,2481506
Thick‐billed Longspur,Rhynchophanes mccownii,Y,NA,NA,Yes,"19,20,35","10,11,17,18",6093927,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Rhynchophanes,Rhynchophanes mccownii,6093927
Thick‐billed Parrot,Rhynchopsitta pachyrhyncha,N,Wherever found,NA,NA,NA,NA,2480013,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Rhynchopsitta,Rhynchopsitta pachyrhyncha,2480013
Tricolored Blackbird,Agelaius tricolor,Y,NA,NA,Yes,NA,"32,33",2484445,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius tricolor,2484445
Tristram's Storm‐Petrel,Hydrobates tristrami,Y,NA,NA,Yes,NA,102,11026445,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,Oceanodroma tristrami,2482023
Tufted Puffin,Fratercula cirrhata,Y,NA,NA,No,M17,5,2481357,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,Fratercula cirrhata,2481357
Upland Sandpiper,Bartramia longicauda,Y,NA,NA,No,NA,"13,22,23",2481705,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,2481705
Varied Bunting,Passerina versicolor,Y,NA,NA,Yes,NA,"34,35",5230855,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,Passerina versicolor,5230855
Varied Thrush,Ixoreus naevius,Y,NA,NA,No ‐ssp. naevius only,NA,5,2490926,Animalia,Chordata,Aves,Passeriformes,Turdidae,Ixoreus,Ixoreus naevius,2490926
Vaux's Swift,Chaetura vauxi,Y,NA,NA,No ‐ ssp. vauxi only,NA,5,5228612,Animalia,Chordata,Aves,Apodiformes,Apodidae,Chaetura,Chaetura vauxi,5228612
Veery,Catharus fuscescens,Y,NA,NA,No ‐ ssp. fuscescens only,NA,"12,14",2490804,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,Catharus fuscescens,2490804
Verdin,Auriparus flaviceps,Y,NA,NA,No ‐ ssp. acaciarum only,NA,33,2487397,Animalia,Chordata,Aves,Passeriformes,Remizidae,Auriparus,Auriparus flaviceps,2487397
Vesper Sparrow,Pooecetes gramineus,Y,NA,NA,No ‐ ssp. affinis only,NA,5,2491728,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pooecetes,Pooecetes gramineus,2491728
Virginia's Warbler,Leiothlypis virginiae,Y,NA,NA,Yes,NA,"9,16,34,35",8314699,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,Leiothlypis virginiae,8314699
Wandering Tattler,Tringa incana,Y,NA,NA,Yes,NA,"2,3,4",9733156,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa incana,9733156
West Indian Whistling‐Duck,Dendrocygna arborea,Y,NA,NA,Yes,NA,101,2498406,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,Dendrocygna arborea,2498406
Western Grebe,Aechmophorus occidentalis,Y,NA,NA,Yes,NA,"5,9,10,11,15,16,17,19,23,32,33,34",2482033,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,Aechmophorus occidentalis,2482033
Western Gull,Larus occidentalis,Y,NA,NA,Yes,NA,"5,32",9656686,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus occidentalis,9656686
Western Screech‐Owl,Megascops kennicottii,Y,NA,NA,"No ‐ ssp. cardonensis and kennicottii
only",NA,"5,32",2497341,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,Megascops kennicottii,2497341
Whimbrel,Numenius phaeopus,Y,NA,NA,No ‐ ssp. hudsonicus only,"12,14,18,19,27,30,31,37",NA,2481784,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius phaeopus,2481784
Whiskered Auklet,Aethia pygmaea,Y,NA,NA,Yes,M14,1,5229271,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,Aethia pygmaea,5229271
Whiskered Screech‐Owl,Megascops trichopsis,Y,NA,NA,Yes,NA,34,2497319,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,Megascops trichopsis,2497319
White‐breasted Nuthatch,Sitta carolinensis,Y,NA,NA,No ‐ ssp. aculeata only,NA,10,2484892,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,Sitta carolinensis,2484892
White‐cheeked Pintail,Anas bahamensis,Y,NA,NA,Yes ‐ ssp. bahamensis only,NA,101,2498090,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas bahamensis,2498090
White‐crowned Pigeon,Patagioenas leucocephala,Y,NA,NA,Yes,NA,31,2495310,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,Patagioenas leucocephala,2495310
White‐headed Woodpecker,Dryobates albolarvatus,Y,NA,NA,No ‐ ssp.gravirostris only,NA,32,10876512,Animalia,Chordata,Aves,Piciformes,Picidae,Leuconotopicus,Leuconotopicus albolarvatus,9128444
White‐necked Crow,Corvus leucognaphalus,Y,Wherever found,NA,NA,NA,NA,2482486,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus leucognaphalus,2482486
White‐tailed Tropicbird,Phaethon lepturus,Y,NA,NA,Yes ‐ ssp. catesbyi only,NA,101,2481364,Animalia,Chordata,Aves,Phaethontiformes,Phaethontidae,Phaethon,Phaethon lepturus,2481364
White‐throated Ground Dove,Alopecoenas xanthonurus,Y,NA,NA,Yes,NA,102,8991051,Animalia,Chordata,Aves,Columbiformes,Columbidae,Pampusana,Pampusana xanthonura,10783350
Whooping Crane,Grus americana,Y,"Wherever found, except where listed as
an experimental population (AL, AR, CO,
FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS,
MO, NC, NM, OH, SC, TN, UT, VA, WI, WV,
western half of WY, southwestern LA)",NA,NA,NA,NA,2474941,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,Grus americana,2474941
Willet,Tringa semipalmata,Y,NA,NA,Yes,"5,32,33","9,10,11,14,15,17,19,27,30,31,37",5789298,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa semipalmata,5789298
Willow Flycatcher,Empidonax traillii,Y,Ssp. extimus only ‐ wherever found,NA,NA,NA,NA,2482786,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,2482786
Wilson's Plover,Charadrius wilsonia,Y,NA,NA,Yes,NA,"27,31,36,37",2480302,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius wilsonia,2480302
Wood Stork,Mycteria americana,Y,NA,"AL, FL, GA, MS, NC, SC",NA,NA,NA,2481937,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Mycteria,Mycteria americana,2481937
Wood Thrush,Hylocichla mustelina,Y,NA,NA,Yes,NA,"12,13,14,22,23,24,25,26,27,28,29,30",2490872,Animalia,Chordata,Aves,Passeriformes,Turdidae,Hylocichla,Hylocichla mustelina,2490872
Woodhouse's Scrub‐Jay,Aphelocoma woodhouseii,Y,NA,NA,No ‐ ssp. woodhouseii only,NA,35,5844900,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma woodhouseii,5844900
Wrentit,Chamaea fasciata,Y,NA,NA,Yes,NA,"5,15,32",2493558,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Chamaea,Chamaea fasciata,2493558
Yellow Rail,Coturnicops noveboracensis,Y,NA,NA,Yes,"25,26,27,31,32,37","9,10,11,12,23",5228183,Animalia,Chordata,Aves,Gruiformes,Rallidae,Coturnicops,Coturnicops noveboracensis,5228183
Yellow‐billed Cuckoo,Coccyzus americanus,Y,NA,Western DPS only,No,NA,28,2496287,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,Coccyzus americanus,2496287
Yellow‐billed Loon,Gavia adamsii,Y,NA,NA,Yes,"1,M15","2,3,32",2481957,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,Gavia adamsii,2481957
Yellow‐billed Magpie,Pica nuttalli,Y,NA,NA,Yes,NA,32,5229489,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,Pica nuttalli,5229489
Yellow‐breasted Chat,Icteria virens,Y,NA,NA,No ‐ ssp. virens only,NA,30,2489989,Animalia,Chordata,Aves,Passeriformes,Parulidae,Icteria,Icteria virens,2489989
Yellow‐breasted Crake,Hapalocrex flaviventer,Y,NA,NA,Yes ‐ ssp. hendersoni only,NA,101,9621766,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porzana,Porzana flaviventer,2474640
Yellow‐footed Gull,Larus livens,Y,NA,NA,Yes,33,NA,2481154,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus livens,2481154
Yellow‐headed Blackbird,Xanthocephalus xanthocephalus,Y,NA,NA,No,NA,16,2484195,Animalia,Chordata,Aves,Passeriformes,Icteridae,Xanthocephalus,Xanthocephalus xanthocephalus,2484195
Yellow‐shouldered Blackbird,Agelaius xanthomus,Y,Wherever found,NA,NA,NA,NA,2484449,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius xanthomus,2484449
