group,scientific_name,common_name,gbif_taxonID,kingdom,phylum,class,order,family,genus,species,taxon_id
Amphibians,Dicamptodon aterrimus,Idaho Giant,2432026,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Dicamptodon,Dicamptodon aterrimus,2432026
Amphibians,Plethodon idahoensis,Coeur d'Alene,2431485,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon idahoensis,2431485
Amphibians,Spea bombifrons,Plains Spadefoot,2429789,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,Spea bombifrons,2429789
Amphibians,Lithobates pipiens,Northern Leopard,2427185,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates pipiens,2427185
Amphibians,Anaxyrus cognatus,Great Plains Toad,2422882,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus cognatus,2422882
Amphibians,Anaxyrus boreas,Western Toad,2422924,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus boreas,2422924
Birds,Himantopus mexicanus,Black-necked Stilt,5229128,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,Himantopus mexicanus,5229128
Birds,Botaurus lentiginosus,American Bittern,2480911,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,Botaurus lentiginosus,2480911
Birds,Nycticorax nycticorax,Black-crowned Night-,2480863,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,Nycticorax nycticorax,2480863
Birds,Ardea herodias,Great Blue Heron,9630752,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea herodias,9630752
Birds,Dolichonyx oryzivorus,Bobolink,2484417,Animalia,Chordata,Aves,Passeriformes,Icteridae,Dolichonyx,Dolichonyx oryzivorus,2484417
Birds,Poecile hudsonicus,Boreal Chickadee,2487793,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,Poecile hudsonicus,2487793
Birds,Grus americana,Whooping Crane,2474941,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,Grus americana,2474941
Birds,Certhia americana,Brown Creeper,9581157,Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia,Certhia americana,9581157
Birds,Coccyzus,Black-billed Cuckoo,2496285,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,NA,2496285
NA,erythropthalmus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birds,Coccyzus americanus,Yellow-billed Cuckoo,2496287,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,Coccyzus americanus,2496287
Birds,Falco peregrinus,Peregrine Falcon,2481047,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco peregrinus,2481047
Birds,Leucosticte atrata,Black Rosy-Finch,2494372,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,Leucosticte atrata,2494372
Birds,Haemorhous cassinii,Cassin's Finch,8255548,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous cassinii,8255548
Birds,Coccothraustes,Evening Grosbeak,2494310,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Coccothraustes,NA,2494310
NA,vespertinus,NA,4828979,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,NA,2437961
Birds,Leucosticte tephrocotis,Gray-crowned Rosy-,2494360,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,Leucosticte tephrocotis,2494360
Birds,Empidonax alnorum,Alder Flycatcher,2482809,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax alnorum,2482809
Birds,Polioptila caerulea,Blue-gray Gnatcatcher,2487596,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila,Polioptila caerulea,2487596
Birds,Aechmophorus clarkii,Clark's Grebe,2482032,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,Aechmophorus clarkii,2482032
Birds,Podiceps auritus,Horned Grebe,2482059,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps auritus,2482059
Birds,Chlidonias niger,Black Tern,2481119,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias,Chlidonias niger,2481119
Birds,Hydroprogne caspia,Caspian Tern,2481236,Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydroprogne,Hydroprogne caspia,2481236
Birds,Sterna hirundo,Common Tern,9367409,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna hirundo,9367409
Birds,Sterna forsteri,Forster's Tern,5229247,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna forsteri,5229247
Birds,Leucophaeus pipixcan,Franklin's Gull,5846430,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus,Leucophaeus pipixcan,5846430
Birds,Sternula antillarum,Least Tern,5789285,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula,Sternula antillarum,5789285
Birds,Buteo regalis,Ferruginous Hawk,2480566,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo regalis,2480566
Birds,Aquila chrysaetos,Golden Eagle,2480506,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila chrysaetos,2480506
Birds,Accipiter gentilis,Northern Goshawk,2480589,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter gentilis,2480589
Birds,Plegadis chihi,White-faced Ibis,9375033,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,Plegadis chihi,9375033
Birds,Nucifraga columbiana,Clark's Nutcracker,2482614,Animalia,Chordata,Aves,Passeriformes,Corvidae,Nucifraga,Nucifraga columbiana,2482614
Birds,Gymnorhinus,Pinyon Jay,44,Animalia,Chordata,NA,NA,NA,NA,NA,44
NA,cyanocephalus,NA,8020297,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Cyanocephalus,NA,8020297
Birds,Calcarius ornatus,Chestnut-collared,2491677,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Calcarius,Calcarius ornatus,2491677
Birds,Rhynchophanes,McCown's Longspur,7342052,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Rhynchophanes,NA,7342052
NA,mccownii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birds,Gavia immer,Common Loon,2481962,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,Gavia immer,2481962
Birds,Athene cunicularia,Burrowing Owl,2497240,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,Athene cunicularia,2497240
Birds,Otus flammeolus,Flammulated Owl,5232325,Animalia,Chordata,Aves,Strigiformes,Strigidae,Psiloscops,Psiloscops flammeolus,7807178
Birds,Strix nebulosa,Great Gray Owl,2497522,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,Strix nebulosa,2497522
Birds,Surnia ulula,Northern Hawk Owl,2497894,Animalia,Chordata,Aves,Strigiformes,Strigidae,Surnia,Surnia ulula,2497894
Birds,Pelecanus,American White,10650925,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,NA,10650925
NA,erythrorhynchos,Pelican,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birds,Anthus spragueii,Sprague's Pipit,2490268,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus spragueii,2490268
Birds,Charadrius montanus,Mountain Plover,2480292,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius montanus,2480292
Birds,Charadrius melodus,Piping Plover,2480283,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius melodus,2480283
Birds,Coturnicops,Yellow Rail,5429281,Animalia,Chordata,Aves,Gruiformes,Rallidae,Coturnicops,NA,5429281
NA,noveboracensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birds,Numenius americanus,Long-billed Curlew,2481794,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius americanus,2481794
Birds,Lanius ludovicianus,Loggerhead Shrike,2492870,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius ludovicianus,2492870
Birds,Ammodramus bairdii,Baird's Sparrow,2491122,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,Centronyx bairdii,10783710
Birds,Spizella breweri,Brewer's Sparrow,2492099,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,Spizella breweri,2492099
Birds,Pipilo chlorurus,Green-tailed Towhee,2491276,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pipilo,Pipilo chlorurus,2491276
Birds,Ammodramus leconteii,Le Conte's Sparrow,2491080,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammospiza,Ammospiza leconteii,2491081
Birds,Ammodramus nelsoni,Nelson's Sparrow,2491088,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammospiza,Ammospiza nelsoni,10999791
Birds,Artemisiospiza,Sagebrush Sparrow,6100796,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Artemisiospiza,NA,6100796
NA,nevadensis,NA,7292025,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Hormathophylla,NA,3050677
Birds,Histrionicus,Harlequin Duck,2498223,Animalia,Chordata,Aves,Anseriformes,Anatidae,Histrionicus,NA,2498223
Birds,Histrionicus,Harlequin Duck,2498223,Animalia,Chordata,Aves,Anseriformes,Anatidae,Histrionicus,NA,2498223
NA,histrionicus,NA,2498223,Animalia,Chordata,Aves,Anseriformes,Anatidae,Histrionicus,NA,2498223
NA,histrionicus,NA,2498223,Animalia,Chordata,Aves,Anseriformes,Anatidae,Histrionicus,NA,2498223
Birds,Cygnus buccinator,Trumpeter Swan,2498345,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus buccinator,2498345
Birds,Cypseloides niger,Black Swift,2477282,Animalia,Chordata,Aves,Apodiformes,Apodidae,Cypseloides,Cypseloides niger,2477282
Birds,Oreoscoptes montanus,Sage Thrasher,2494973,Animalia,Chordata,Aves,Passeriformes,Mimidae,Oreoscoptes,Oreoscoptes montanus,2494973
Birds,Ixoreus naevius,Varied Thrush,2490926,Animalia,Chordata,Aves,Passeriformes,Turdidae,Ixoreus,Ixoreus naevius,2490926
Birds,Catharus fuscescens,Veery,2490804,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,Catharus fuscescens,2490804
Birds,Centrocercus,Greater Sage-Grouse,5959239,Animalia,Chordata,Aves,Galliformes,Phasianidae,Centrocercus,NA,5959239
NA,urophasianus,NA,4843013,Animalia,Chordata,Aves,NA,NA,Urophasianus,NA,4843013
Birds,Tympanuchus,Sharp-tailed Grouse,2473509,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tympanuchus,NA,2473509
NA,phasianellus,NA,4357660,Animalia,Mollusca,Gastropoda,Trochida,Phasianellidae,Phasianella,NA,4357660
Birds,Lagopus leucura,White-tailed,5227717,Animalia,Chordata,Aves,Galliformes,Phasianidae,Lagopus,Lagopus leucura,5227717
Birds,Picoides arcticus,Black-backed,2477774,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides,Picoides arcticus,2477774
Birds,Melanerpes lewis,Lewis's Woodpecker,2478142,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,Melanerpes lewis,2478142
Birds,Dryocopus pileatus,Pileated Woodpecker,5228824,Animalia,Chordata,Aves,Piciformes,Picidae,Dryocopus,Dryocopus pileatus,5228824
Birds,Melanerpes,Red-headed,2478067,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,NA,2478067
NA,erythrocephalus,Woodpecker,4805035,Animalia,Arthropoda,NA,NA,NA,Erythrocephalus,NA,4805035
Birds,Troglodytes pacificus,Pacific Wren,9533566,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,Troglodytes pacificus,9533566
Birds,Cistothorus platensis,Sedge Wren,2493890,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cistothorus,Cistothorus platensis,2493890
Fish,Lepisosteus,Shortnose Gar,2346691,Animalia,Chordata,NA,Lepisosteiformes,Lepisosteidae,Lepisosteus,NA,2346691
NA,platostomus,NA,2338462,Animalia,Chordata,NA,Siluriformes,Pimelodidae,Sorubim,NA,2338681
Fish,Chrosomus eos,Northern Redbelly,2365385,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Chrosomus,Chrosomus eos,2365385
Fish,Chrosomus eos,Northern Redbelly,2365385,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Chrosomus,Chrosomus eos,2365385
Fish,Chrosomus eos x,Northern Redbelly X,2365385,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Chrosomus,Chrosomus eos,2365385
Fish,Chrosomus eos x,Northern Redbelly X,2365385,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Chrosomus,Chrosomus eos,2365385
NA,chrosomus neogaeus,Finescale Dace,2365558,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Chrosomus,Chrosomus neogaeus,2365558
Fish,Margariscus margarita,Pearl Dace,2360894,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Margariscus,Margariscus margarita,2360894
Fish,Macrhybopsis meeki,Sicklefin Chub,2362056,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Macrhybopsis,Macrhybopsis meeki,2362056
Fish,Macrhybopsis gelida,Sturgeon Chub,2362060,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Macrhybopsis,Macrhybopsis gelida,2362060
Fish,Polyodon spathula,Paddlefish,5212833,Animalia,Chordata,NA,Acipenseriformes,Polyodontidae,Polyodon,Polyodon spathula,5212833
Fish,Etheostoma exile,Iowa Darter,2382377,Animalia,Chordata,NA,Perciformes,Percidae,Etheostoma,Etheostoma exile,2382377
Fish,Sander canadensis,Sauger,2382152,Animalia,Chordata,NA,Perciformes,Percidae,Sander,Sander canadensis,2382152
Fish,Myoxocephalus,Deepwater Sculpin,2333775,Animalia,Chordata,NA,Scorpaeniformes,Cottidae,Myoxocephalus,NA,2333775
NA,thompsonii,NA,8395503,Animalia,Arthropoda,Maxillopoda,Akentrogonida,Thompsoniidae,Thompsonia,NA,8395503
Fish,Cottus ricei,Spoonhead Sculpin,2334201,Animalia,Chordata,NA,Scorpaeniformes,Cottidae,Cottus,Cottus ricei,2334201
Fish,Cottus rhotheus,Torrent Sculpin,2334075,Animalia,Chordata,NA,Scorpaeniformes,Cottidae,Cottus,Cottus rhotheus,2334075
Fish,Scaphirhynchus albus,Pallid Sturgeon,2402088,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Scaphirhynchus,Scaphirhynchus albus,2402088
Fish,Acipenser,White Sturgeon,2340025,Animalia,Chordata,NA,Acipenseriformes,Acipenseridae,Acipenser,NA,2340025
NA,transmontanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish,Cycleptus elongatus,Blue Sucker,2359101,Animalia,Chordata,NA,Cypriniformes,Catostomidae,Cycleptus,Cycleptus elongatus,2359101
Fish,Thymallus arcticus,Arctic Grayling,5711974,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Thymallus,Thymallus arcticus,5711974
Fish,Salvelinus confluentus,Bull Trout,2351244,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Salvelinus,Salvelinus confluentus,2351244
Fish,Oncorhynchus mykiss,Columbia River,5204019,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,5204019
NA,gairdneri,Redband Trout,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish,Salvelinus namaycush,Lake Trout,2351327,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Salvelinus,Salvelinus namaycush,2351327
Fish,Prosopium coulteri,Pygmy Whitefish,2351517,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Prosopium,Prosopium coulterii,2351517
Fish,Oncorhynchus clarkii,Westslope Cutthroat,5711980,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,5711980
NA,lewisi,Trout,3248516,Animalia,Mollusca,Gastropoda,Cycloneritida,Helicinidae,Lewisia,NA,3248516
Fish,Oncorhynchus clarkii,Yellowstone Cutthroat,5711980,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,5711980
NA,bouvieri,Trout,3243848,Animalia,Mollusca,Gastropoda,Pleurobranchida,Pleurobranchidae,Berthella,NA,2302615
Fish,Percopsis,Trout-perch,2401706,Animalia,Chordata,NA,Percopsiformes,Percopsidae,Percopsis,NA,2401706
NA,omiscomaycus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mammals,Myotis thysanodes,Fringed Myotis,2432399,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis thysanodes,2432399
Mammals,Lasiurus cinereus,Hoary Bat,5218544,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,11138256
Mammals,Myotis lucifugus,Little Brown Myotis,2432406,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,2432406
Mammals,Antrozous pallidus,Pallid Bat,2432339,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Antrozous,Antrozous pallidus,2432339
Mammals,Euderma maculatum,Spotted Bat,2432579,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Euderma,Euderma maculatum,2432579
Mammals,Corynorhinus,Townsend's Big-eared,2432583,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Corynorhinus,NA,2432583
NA,townsendii,Bat,3139238,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Townsendia,NA,3139238
Mammals,Ursus arctos,Grizzly Bear,2433433,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus arctos,2433433
Mammals,Bos bison,Bison,2441178,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,Bison bison,2441176
Mammals,Lynx canadensis,Canada Lynx,2435263,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx canadensis,2435263
Mammals,Synaptomys borealis,Northern Bog,2438953,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Synaptomys,Synaptomys borealis,2438953
Mammals,Perognathus parvus,Great Basin Pocket,2439554,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Perognathus,Perognathus parvus,2439554
Mammals,Brachylagus idahoensis,Pygmy Rabbit,2436688,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Brachylagus,Brachylagus idahoensis,2436688
Mammals,Sorex arcticus,Arctic Shrew,2436104,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex arcticus,2436104
Mammals,Sorex nanus,Dwarf Shrew,2436108,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex nanus,2436108
Mammals,Sorex merriami,Merriam's Shrew,2435989,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex merriami,2435989
Mammals,Blarina brevicauda,Northern Short-tailed,2435862,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Blarina,Blarina brevicauda,2435862
Mammals,Sorex preblei,Preble's Shrew,2435996,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex preblei,2435996
Mammals,Sorex hoyi,Pygmy Shrew,2436053,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex hoyi,2436053
Mammals,Cynomys ludovicianus,Black-tailed Prairie,2437232,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Cynomys,Cynomys ludovicianus,2437232
Mammals,Cynomys leucurus,White-tailed Prairie,2437233,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Cynomys,Cynomys leucurus,2437233
Mammals,Mustela nigripes,Black-footed Ferret,5218985,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela nigripes,5218985
Mammals,Martes pennanti,Fisher,5218855,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Pekania,Pekania pennanti,8631083
Mammals,Gulo gulo,Wolverine,5219073,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Gulo,Gulo gulo,5219073
Mammals,Vulpes velox,Swift Fox,5219290,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes velox,5219290
Mussels,Margaritifera falcata,Western Pearlshell,2287872,Animalia,Mollusca,Bivalvia,Unionida,Margaritiferidae,Margaritifera,Margaritifera falcata,2287872
Reptiles,Elgaria coerulea,Northern Alligator,2468254,Animalia,Chordata,Squamata,NA,Anguidae,Elgaria,Elgaria coerulea,2468254
Reptiles,Lampropeltis,Milksnake,9391215,Animalia,Chordata,Squamata,NA,Colubridae,Lampropeltis,NA,9391215
NA,triangulum,NA,12330282,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Triangulum,NA,12330282
Reptiles,Opheodrys vernalis,Smooth Greensnake,2458587,Animalia,Chordata,Squamata,NA,Colubridae,Opheodrys,Opheodrys vernalis,2458587
Reptiles,Heterodon nasicus,Western Hog-nosed,5223725,Animalia,Chordata,Squamata,NA,Colubridae,Heterodon,Heterodon nasicus,5223725
Reptiles,Phrynosoma,Greater Short-horned,1,Animalia,NA,NA,NA,NA,NA,NA,1
NA,hernandesi,Lizard,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reptiles,Plestiodon skiltonianus,Western Skink,5960558,Animalia,Chordata,Squamata,NA,Scincidae,Plestiodon,Plestiodon skiltonianus,5960558
Reptiles,Chelydra serpentina,Snapping Turtle,2441905,Animalia,Chordata,Testudines,NA,Chelydridae,Chelydra,Chelydra serpentina,2441905
Reptiles,Apalone spinifera,Spiny Softshell,2442680,Animalia,Chordata,Testudines,NA,Trionychidae,Apalone,Apalone spinifera,2442680
